Trace2,
Freq,,Amp,,
               10000,Hz,              -56.70, dBm,
               10150,Hz,              -56.71, dBm,
               10300,Hz,              -56.72, dBm,
               10450,Hz,              -56.63, dBm,
               10600,Hz,              -56.63, dBm,
               10750,Hz,              -56.60, dBm,
               10900,Hz,              -56.60, dBm,
               11050,Hz,              -56.41, dBm,
               11200,Hz,              -56.19, dBm,
               11350,Hz,              -55.93, dBm,
               11500,Hz,              -55.79, dBm,
               11650,Hz,              -55.68, dBm,
               11800,Hz,              -55.71, dBm,
               11950,Hz,              -55.74, dBm,
               12100,Hz,              -55.93, dBm,
               12250,Hz,              -56.05, dBm,
               12400,Hz,              -56.21, dBm,
               12550,Hz,              -56.25, dBm,
               12700,Hz,              -56.28, dBm,
               12850,Hz,              -56.24, dBm,
               13000,Hz,              -56.24, dBm,
               13150,Hz,              -56.05, dBm,
               13300,Hz,              -55.81, dBm,
               13450,Hz,              -55.38, dBm,
               13600,Hz,              -55.04, dBm,
               13750,Hz,              -54.67, dBm,
               13900,Hz,              -54.34, dBm,
               14050,Hz,              -53.87, dBm,
               14200,Hz,              -53.38, dBm,
               14350,Hz,              -52.75, dBm,
               14500,Hz,              -52.10, dBm,
               14650,Hz,              -51.20, dBm,
               14800,Hz,              -50.24, dBm,
               14950,Hz,              -49.09, dBm,
               15100,Hz,              -48.03, dBm,
               15250,Hz,              -46.96, dBm,
               15400,Hz,              -46.06, dBm,
               15550,Hz,              -45.26, dBm,
               15700,Hz,              -44.69, dBm,
               15850,Hz,              -44.34, dBm,
               16000,Hz,              -44.28, dBm,
               16150,Hz,              -44.55, dBm,
               16300,Hz,              -45.16, dBm,
               16450,Hz,              -46.13, dBm,
               16600,Hz,              -47.40, dBm,
               16750,Hz,              -48.82, dBm,
               16900,Hz,              -50.48, dBm,
               17050,Hz,              -52.02, dBm,
               17200,Hz,              -53.47, dBm,
               17350,Hz,              -54.34, dBm,
               17500,Hz,              -54.89, dBm,
               17650,Hz,              -55.27, dBm,
               17800,Hz,              -55.74, dBm,
               17950,Hz,              -56.13, dBm,
               18100,Hz,              -56.52, dBm,
               18250,Hz,              -56.89, dBm,
               18400,Hz,              -57.32, dBm,
               18550,Hz,              -57.66, dBm,
               18700,Hz,              -57.98, dBm,
               18850,Hz,              -58.20, dBm,
               19000,Hz,              -58.42, dBm,
               19150,Hz,              -58.56, dBm,
               19300,Hz,              -58.76, dBm,
               19450,Hz,              -58.85, dBm,
               19600,Hz,              -58.96, dBm,
               19750,Hz,              -59.02, dBm,
               19900,Hz,              -59.11, dBm,
               20050,Hz,              -59.09, dBm,
               20200,Hz,              -59.13, dBm,
               20350,Hz,              -59.18, dBm,
               20500,Hz,              -59.32, dBm,
               20650,Hz,              -59.41, dBm,
               20800,Hz,              -59.55, dBm,
               20950,Hz,              -59.67, dBm,
               21100,Hz,              -59.86, dBm,
               21250,Hz,              -60.03, dBm,
               21400,Hz,              -60.26, dBm,
               21550,Hz,              -60.47, dBm,
               21700,Hz,              -60.73, dBm,
               21850,Hz,              -60.91, dBm,
               22000,Hz,              -61.10, dBm,
               22150,Hz,              -61.22, dBm,
               22300,Hz,              -61.34, dBm,
               22450,Hz,              -61.31, dBm,
               22600,Hz,              -61.31, dBm,
               22750,Hz,              -61.33, dBm,
               22900,Hz,              -61.49, dBm,
               23050,Hz,              -61.66, dBm,
               23200,Hz,              -61.91, dBm,
               23350,Hz,              -62.11, dBm,
               23500,Hz,              -62.32, dBm,
               23650,Hz,              -62.36, dBm,
               23800,Hz,              -62.45, dBm,
