Trace2,
Freq,,Amp,,
               10000,Hz,              -59.29, dBm,
               10150,Hz,              -59.12, dBm,
               10300,Hz,              -59.04, dBm,
               10450,Hz,              -58.95, dBm,
               10600,Hz,              -58.95, dBm,
               10750,Hz,              -59.02, dBm,
               10900,Hz,              -59.17, dBm,
               11050,Hz,              -59.22, dBm,
               11200,Hz,              -59.20, dBm,
               11350,Hz,              -58.93, dBm,
               11500,Hz,              -58.62, dBm,
               11650,Hz,              -58.26, dBm,
               11800,Hz,              -57.97, dBm,
               11950,Hz,              -57.76, dBm,
               12100,Hz,              -57.75, dBm,
               12250,Hz,              -57.91, dBm,
               12400,Hz,              -58.24, dBm,
               12550,Hz,              -58.62, dBm,
               12700,Hz,              -59.01, dBm,
               12850,Hz,              -59.33, dBm,
               13000,Hz,              -59.66, dBm,
               13150,Hz,              -59.90, dBm,
               13300,Hz,              -60.12, dBm,
               13450,Hz,              -60.18, dBm,
               13600,Hz,              -60.24, dBm,
               13750,Hz,              -60.27, dBm,
               13900,Hz,              -60.32, dBm,
               14050,Hz,              -60.32, dBm,
               14200,Hz,              -60.39, dBm,
               14350,Hz,              -60.46, dBm,
               14500,Hz,              -60.60, dBm,
               14650,Hz,              -60.71, dBm,
               14800,Hz,              -60.86, dBm,
               14950,Hz,              -60.96, dBm,
               15100,Hz,              -61.11, dBm,
               15250,Hz,              -61.18, dBm,
               15400,Hz,              -61.29, dBm,
               15550,Hz,              -61.40, dBm,
               15700,Hz,              -61.57, dBm,
               15850,Hz,              -61.77, dBm,
               16000,Hz,              -62.06, dBm,
               16150,Hz,              -62.31, dBm,
               16300,Hz,              -62.55, dBm,
               16450,Hz,              -62.61, dBm,
               16600,Hz,              -62.64, dBm,
               16750,Hz,              -62.56, dBm,
               16900,Hz,              -62.50, dBm,
               17050,Hz,              -62.35, dBm,
               17200,Hz,              -62.24, dBm,
               17350,Hz,              -62.16, dBm,
               17500,Hz,              -62.19, dBm,
               17650,Hz,              -62.22, dBm,
               17800,Hz,              -62.33, dBm,
               17950,Hz,              -62.45, dBm,
               18100,Hz,              -62.61, dBm,
               18250,Hz,              -62.69, dBm,
               18400,Hz,              -62.79, dBm,
               18550,Hz,              -62.83, dBm,
               18700,Hz,              -62.92, dBm,
               18850,Hz,              -62.93, dBm,
               19000,Hz,              -62.95, dBm,
               19150,Hz,              -62.92, dBm,
               19300,Hz,              -62.94, dBm,
               19450,Hz,              -62.96, dBm,
               19600,Hz,              -63.12, dBm,
               19750,Hz,              -63.31, dBm,
               19900,Hz,              -63.53, dBm,
               20050,Hz,              -63.67, dBm,
               20200,Hz,              -63.80, dBm,
               20350,Hz,              -63.77, dBm,
               20500,Hz,              -63.68, dBm,
               20650,Hz,              -63.46, dBm,
               20800,Hz,              -63.29, dBm,
               20950,Hz,              -63.09, dBm,
               21100,Hz,              -62.94, dBm,
               21250,Hz,              -62.80, dBm,
               21400,Hz,              -62.74, dBm,
               21550,Hz,              -62.70, dBm,
               21700,Hz,              -62.76, dBm,
               21850,Hz,              -62.84, dBm,
               22000,Hz,              -63.06, dBm,
               22150,Hz,              -63.32, dBm,
               22300,Hz,              -63.66, dBm,
               22450,Hz,              -63.95, dBm,
               22600,Hz,              -64.25, dBm,
               22750,Hz,              -64.40, dBm,
               22900,Hz,              -64.50, dBm,
               23050,Hz,              -64.53, dBm,
