Trace2,
Freq,,Amp,,
                1000,Hz,              -17.52, dBm,
                1081,Hz,              -18.19, dBm,
                1162,Hz,              -19.03, dBm,
                1243,Hz,              -20.05, dBm,
                1324,Hz,              -21.25, dBm,
                1405,Hz,              -22.67, dBm,
                1486,Hz,              -24.31, dBm,
                1567,Hz,              -26.17, dBm,
                1648,Hz,              -28.26, dBm,
                1729,Hz,              -30.55, dBm,
                1810,Hz,              -33.02, dBm,
                1891,Hz,              -35.61, dBm,
                1972,Hz,              -38.26, dBm,
                2053,Hz,              -40.90, dBm,
                2134,Hz,              -43.43, dBm,
                2215,Hz,              -45.74, dBm,
                2296,Hz,              -47.74, dBm,
                2377,Hz,              -49.34, dBm,
                2458,Hz,              -50.52, dBm,
                2539,Hz,              -51.37, dBm,
                2620,Hz,              -51.91, dBm,
                2701,Hz,              -52.25, dBm,
                2782,Hz,              -52.48, dBm,
                2863,Hz,              -52.63, dBm,
                2944,Hz,              -52.75, dBm,
                3025,Hz,              -52.85, dBm,
                3106,Hz,              -52.94, dBm,
                3187,Hz,              -53.03, dBm,
                3268,Hz,              -53.12, dBm,
                3349,Hz,              -53.23, dBm,
                3430,Hz,              -53.35, dBm,
                3511,Hz,              -53.48, dBm,
                3592,Hz,              -53.64, dBm,
                3673,Hz,              -53.81, dBm,
                3754,Hz,              -53.98, dBm,
                3835,Hz,              -54.14, dBm,
                3916,Hz,              -54.28, dBm,
                3997,Hz,              -54.41, dBm,
                4078,Hz,              -54.53, dBm,
                4159,Hz,              -54.64, dBm,
                4240,Hz,              -54.75, dBm,
                4321,Hz,              -54.84, dBm,
                4402,Hz,              -54.91, dBm,
                4483,Hz,              -54.97, dBm,
                4564,Hz,              -55.04, dBm,
                4645,Hz,              -55.10, dBm,
                4726,Hz,              -55.15, dBm,
                4807,Hz,              -55.22, dBm,
                4888,Hz,              -55.29, dBm,
                4969,Hz,              -55.36, dBm,
                5050,Hz,              -55.40, dBm,
                5131,Hz,              -55.42, dBm,
                5212,Hz,              -55.43, dBm,
                5293,Hz,              -55.43, dBm,
                5374,Hz,              -55.46, dBm,
                5455,Hz,              -55.49, dBm,
                5536,Hz,              -55.56, dBm,
                5617,Hz,              -55.64, dBm,
                5698,Hz,              -55.73, dBm,
                5779,Hz,              -55.83, dBm,
                5860,Hz,              -55.94, dBm,
                5941,Hz,              -56.07, dBm,
                6022,Hz,              -56.21, dBm,
                6103,Hz,              -56.34, dBm,
                6184,Hz,              -56.44, dBm,
                6265,Hz,              -56.53, dBm,
                6346,Hz,              -56.61, dBm,
                6427,Hz,              -56.68, dBm,
                6508,Hz,              -56.79, dBm,
                6589,Hz,              -56.90, dBm,
                6670,Hz,              -57.02, dBm,
                6751,Hz,              -57.14, dBm,
                6832,Hz,              -57.26, dBm,
                6913,Hz,              -57.40, dBm,
                6994,Hz,              -57.54, dBm,
