Trace3,
Freq,,Amp,,
              250000,Hz,              -84.25, dBm,
              250134,Hz,              -84.19, dBm,
              250268,Hz,              -84.16, dBm,
              250402,Hz,              -84.20, dBm,
              250536,Hz,              -84.18, dBm,
              250670,Hz,              -84.05, dBm,
              250804,Hz,              -83.91, dBm,
              250938,Hz,              -83.82, dBm,
              251072,Hz,              -83.70, dBm,
              251206,Hz,              -83.63, dBm,
              251340,Hz,              -83.61, dBm,
              251474,Hz,              -83.68, dBm,
              251608,Hz,              -83.88, dBm,
              251742,Hz,              -84.01, dBm,
              251876,Hz,              -84.09, dBm,
              252010,Hz,              -84.11, dBm,
              252144,Hz,              -84.06, dBm,
              252278,Hz,              -83.87, dBm,
              252412,Hz,              -83.69, dBm,
              252546,Hz,              -83.57, dBm,
              252680,Hz,              -83.46, dBm,
              252814,Hz,              -83.47, dBm,
              252948,Hz,              -83.49, dBm,
              253082,Hz,              -83.51, dBm,
              253216,Hz,              -83.58, dBm,
              253350,Hz,              -83.59, dBm,
              253484,Hz,              -83.52, dBm,
              253618,Hz,              -83.45, dBm,
              253752,Hz,              -83.38, dBm,
              253886,Hz,              -83.38, dBm,
              254020,Hz,              -83.38, dBm,
              254154,Hz,              -83.39, dBm,
              254288,Hz,              -83.45, dBm,
              254422,Hz,              -83.50, dBm,
              254556,Hz,              -83.57, dBm,
              254690,Hz,              -83.66, dBm,
              254824,Hz,              -83.70, dBm,
              254958,Hz,              -83.72, dBm,
              255092,Hz,              -83.76, dBm,
              255226,Hz,              -83.78, dBm,
              255360,Hz,              -83.76, dBm,
              255494,Hz,              -83.71, dBm,
              255628,Hz,              -83.63, dBm,
              255762,Hz,              -83.49, dBm,
              255896,Hz,              -83.45, dBm,
              256030,Hz,              -83.43, dBm,
              256164,Hz,              -83.37, dBm,
              256298,Hz,              -83.38, dBm,
              256432,Hz,              -83.37, dBm,
              256566,Hz,              -83.37, dBm,
              256700,Hz,              -83.42, dBm,
              256834,Hz,              -83.45, dBm,
              256968,Hz,              -83.50, dBm,
              257102,Hz,              -83.58, dBm,
              257236,Hz,              -83.61, dBm,
              257370,Hz,              -83.61, dBm,
              257504,Hz,              -83.65, dBm,
              257638,Hz,              -83.65, dBm,
              257772,Hz,              -83.65, dBm,
              257906,Hz,              -83.62, dBm,
              258040,Hz,              -83.51, dBm,
              258174,Hz,              -83.43, dBm,
              258308,Hz,              -83.40, dBm,
              258442,Hz,              -83.40, dBm,
              258576,Hz,              -83.45, dBm,
              258710,Hz,              -83.50, dBm,
              258844,Hz,              -83.55, dBm,
              258978,Hz,              -83.64, dBm,
              259112,Hz,              -83.69, dBm,
              259246,Hz,              -83.74, dBm,
              259380,Hz,              -83.81, dBm,
              259514,Hz,              -83.84, dBm,
              259648,Hz,              -83.90, dBm,
              259782,Hz,              -84.03, dBm,
              259916,Hz,              -84.07, dBm,
              260050,Hz,              -84.05, dBm,
              260184,Hz,              -84.01, dBm,
              260318,Hz,              -83.99, dBm,
              260452,Hz,              -83.98, dBm,
              260586,Hz,              -84.02, dBm,
              260720,Hz,              -84.01, dBm,
              260854,Hz,              -83.96, dBm,
              260988,Hz,              -83.95, dBm,
              261122,Hz,              -83.91, dBm,
              261256,Hz,              -83.79, dBm,
              261390,Hz,              -83.68, dBm,
              261524,Hz,              -83.57, dBm,
              261658,Hz,              -83.57, dBm,
              261792,Hz,              -83.58, dBm,
              261926,Hz,              -83.62, dBm,
              262060,Hz,              -83.76, dBm,
              262194,Hz,              -83.88, dBm,
              262328,Hz,              -84.06, dBm,
              262462,Hz,              -84.20, dBm,
              262596,Hz,              -84.16, dBm,
              262730,Hz,              -84.00, dBm,
              262864,Hz,              -83.83, dBm,
              262998,Hz,              -83.70, dBm,
              263132,Hz,              -83.50, dBm,
              263266,Hz,              -83.38, dBm,
              263400,Hz,              -83.31, dBm,
              263534,Hz,              -83.29, dBm,
              263668,Hz,              -83.38, dBm,
              263802,Hz,              -83.44, dBm,
              263936,Hz,              -83.48, dBm,
              264070,Hz,              -83.52, dBm,
              264204,Hz,              -83.54, dBm,
              264338,Hz,              -83.56, dBm,
              264472,Hz,              -83.58, dBm,
              264606,Hz,              -83.57, dBm,
              264740,Hz,              -83.53, dBm,
              264874,Hz,              -83.52, dBm,
              265008,Hz,              -83.50, dBm,
              265142,Hz,              -83.44, dBm,
              265276,Hz,              -83.43, dBm,
              265410,Hz,              -83.44, dBm,
              265544,Hz,              -83.51, dBm,
              265678,Hz,              -83.53, dBm,
              265812,Hz,              -83.51, dBm,
              265946,Hz,              -83.49, dBm,
              266080,Hz,              -83.46, dBm,
              266214,Hz,              -83.42, dBm,
              266348,Hz,              -83.42, dBm,
