Trace2,
Freq,,Amp,,
              250000,Hz,              -73.67, dBm,
              250134,Hz,              -73.70, dBm,
              250268,Hz,              -73.70, dBm,
              250402,Hz,              -73.75, dBm,
              250536,Hz,              -73.80, dBm,
              250670,Hz,              -73.92, dBm,
              250804,Hz,              -74.10, dBm,
              250938,Hz,              -74.22, dBm,
              251072,Hz,              -74.32, dBm,
              251206,Hz,              -74.37, dBm,
              251340,Hz,              -74.32, dBm,
              251474,Hz,              -74.13, dBm,
              251608,Hz,              -73.92, dBm,
              251742,Hz,              -73.75, dBm,
              251876,Hz,              -73.54, dBm,
              252010,Hz,              -73.42, dBm,
              252144,Hz,              -73.36, dBm,
              252278,Hz,              -73.32, dBm,
              252412,Hz,              -73.34, dBm,
              252546,Hz,              -73.36, dBm,
              252680,Hz,              -73.37, dBm,
              252814,Hz,              -73.41, dBm,
              252948,Hz,              -73.44, dBm,
              253082,Hz,              -73.46, dBm,
              253216,Hz,              -73.51, dBm,
              253350,Hz,              -73.51, dBm,
              253484,Hz,              -73.45, dBm,
              253618,Hz,              -73.41, dBm,
              253752,Hz,              -73.31, dBm,
              253886,Hz,              -73.25, dBm,
              254020,Hz,              -73.19, dBm,
              254154,Hz,              -73.07, dBm,
              254288,Hz,              -73.03, dBm,
              254422,Hz,              -73.00, dBm,
              254556,Hz,              -72.92, dBm,
              254690,Hz,              -72.85, dBm,
              254824,Hz,              -72.76, dBm,
              254958,Hz,              -72.56, dBm,
              255092,Hz,              -72.36, dBm,
              255226,Hz,              -72.23, dBm,
              255360,Hz,              -72.01, dBm,
              255494,Hz,              -71.84, dBm,
              255628,Hz,              -71.75, dBm,
              255762,Hz,              -71.62, dBm,
              255896,Hz,              -71.51, dBm,
              256030,Hz,              -71.41, dBm,
              256164,Hz,              -71.17, dBm,
              256298,Hz,              -70.91, dBm,
              256432,Hz,              -70.73, dBm,
              256566,Hz,              -70.47, dBm,
              256700,Hz,              -70.30, dBm,
              256834,Hz,              -70.14, dBm,
              256968,Hz,              -69.83, dBm,
              257102,Hz,              -69.54, dBm,
              257236,Hz,              -69.37, dBm,
              257370,Hz,              -69.13, dBm,
              257504,Hz,              -68.92, dBm,
              257638,Hz,              -68.64, dBm,
              257772,Hz,              -68.39, dBm,
              257906,Hz,              -68.19, dBm,
              258040,Hz,              -67.86, dBm,
              258174,Hz,              -67.60, dBm,
              258308,Hz,              -67.46, dBm,
              258442,Hz,              -67.26, dBm,
              258576,Hz,              -67.08, dBm,
              258710,Hz,              -66.92, dBm,
              258844,Hz,              -66.62, dBm,
              258978,Hz,              -66.36, dBm,
              259112,Hz,              -66.20, dBm,
              259246,Hz,              -66.01, dBm,
              259380,Hz,              -65.91, dBm,
              259514,Hz,              -65.87, dBm,
              259648,Hz,              -65.84, dBm,
              259782,Hz,              -65.85, dBm,
              259916,Hz,              -65.85, dBm,
              260050,Hz,              -65.86, dBm,
              260184,Hz,              -65.93, dBm,
              260318,Hz,              -66.01, dBm,
              260452,Hz,              -66.15, dBm,
              260586,Hz,              -66.37, dBm,
              260720,Hz,              -66.51, dBm,
              260854,Hz,              -66.69, dBm,
              260988,Hz,              -66.90, dBm,
              261122,Hz,              -67.02, dBm,
              261256,Hz,              -67.17, dBm,
              261390,Hz,              -67.35, dBm,
              261524,Hz,              -67.50, dBm,
